"ID","Status","Type","Area","StRate"
"F20_009","before","Core",16.418708810097,0
"F20_009","before","HR",100.354701868451,0
"F20_009","after","Core",30.4976555307344,0.0464427975262497
"F20_009","after","HR",137.380140817758,0.0464427975262497
"F20_018","before","Core",17.0456595919224,0
"F20_018","before","HR",334.458329939175,0
"F20_018","after","Core",17.5873142339401,0.11345118090495
"F20_018","after","HR",117.966247471583,0.11345118090495
"F20_005","before","Core",3.65250809006989,0
"F20_005","before","HR",148.097824682841,0
"F20_005","after","Core",28.9212699240305,0.148805046821362
"F20_005","after","HR",121.692076969597,0.148805046821362
"F20_006","before","Core",24.3928293321311,0
"F20_006","before","HR",147.189372701654,0
"F20_006","after","Core",26.652251395249,0.0646870460386565
"F20_006","after","HR",161.244077371179,0.0646870460386565
"F20_016","before","Core",36.7421162800908,0
"F20_016","before","HR",182.514521451762,0
"F20_016","after","Core",40.9482104405522,0.0261525372311606
"F20_016","after","HR",235.768676834676,0.0261525372311606
"F20_017","before","Core",21.144943957901,0
"F20_017","before","HR",92.0893315472431,0
"F20_017","after","Core",16.1841514807582,0.000337145176867432
"F20_017","after","HR",79.5761914475366,0.000337145176867432
"F20_008","before","Core",17.4566811835688,0
"F20_008","before","HR",84.4942980559796,0
"F20_008","after","Core",27.1399400851224,0.0269716141493946
"F20_008","after","HR",116.865543966621,0.0269716141493946
"F20_013","before","Core",38.3794425631046,0
"F20_013","before","HR",151.772249363297,0
"F20_013","after","Core",39.1179320100706,0.0266344689725272
"F20_013","after","HR",156.914611144072,0.0266344689725272
"F20_019","before","Core",29.4045074730784,0
"F20_019","before","HR",173.844155433113,0
"F20_019","after","Core",23.5575425263703,0.0261125487877877
"F20_019","after","HR",146.91826628803,0.0261125487877877
"F20_007","before","Core",19.5825510086007,0
"F20_007","before","HR",104.013642590433,0
"F20_007","after","Core",26.5186734012932,0.088365021303883
"F20_007","after","HR",228.268187618935,0.088365021303883
"F20_004","before","Core",19.3221848197814,0
"F20_004","before","HR",112.358356559493,0
"F20_004","after","Core",24.9255019963935,0.000501996375685621
"F20_004","after","HR",115.30292293244,0.000501996375685621
"F20_003","before","Core",30.9731514938849,0
"F20_003","before","HR",243.167270256171,0
"F20_003","after","Core",31.9503016733047,0
"F20_003","after","HR",125.305234982729,0
"F20_015","before","Core",22.2948509272814,0
"F20_015","before","HR",96.1644280929863,0
"F20_015","after","Core",20.1122181509897,0.0257030103286707
"F20_015","after","HR",121.098945619881,0.0257030103286707
"F20_012","before","Core",31.5315798696563,0
"F20_012","before","HR",142.990782225052,0
"F20_012","after","Core",20.8387785333911,0.0268592324237721
"F20_012","after","HR",135.486278788781,0.0268592324237721
"F20_001","before","Core",9.00853825308904,0
"F20_001","before","HR",175.651786061119,0
"F20_001","after","Core",53.0446921444128,0
"F20_001","after","HR",192.649953097051,0
"F20_020","before","Core",29.6967583858659,0
"F20_020","before","HR",147.5063144578,0
"F20_020","after","Core",35.7889005294889,0.0268592324237721
"F20_020","after","HR",170.762617346019,0.0268592324237721
"F20_011","before","Core",36.0023824845791,0
"F20_011","before","HR",152.955628645897,0
"F20_011","after","Core",54.3683945112556,0.0265220872469047
"F20_011","after","HR",215.277637387689,0.0265220872469047
"F20_010","before","Core",13.3503912185904,0
"F20_010","before","HR",97.1512140412986,0
"F20_010","after","Core",18.4470322748117,0.0262973237956597
"F20_010","after","HR",119.982979446089,0.0262973237956597
"F20_002","before","Core",28.2305124359369,0
"F20_002","before","HR",148.788156131157,0
"F20_002","after","Core",18.6575657293603,0
"F20_002","after","HR",99.4443194551855,0
