"LINE_NO","GMT_DATE","GMT_TIME","LMT_DATE","LMT_TIME","ECEF_X","ECEF_Y","ECEF_Z","LATITUDE","LONGITUDE","HEIGHT","DOP","NAV","VALIDATED","SATS_USED","CH1_SATID","CH1_C.N","CH2_SATID","CH2_C.N","CH3_SATID","CH3_C.N","CH4_SATID","CH4_C.N","CH5_SATID","CH5_C.N","CH6_SATID","CH6_C.N","CH7_SATID","CH7_C.N","CH8_SATID","CH8_C.N","CH9_SATID","CH9_C.N","CH10_SATID","CH10_C.N","CH11_SATID","CH11_C.N","CH12_SATID","CH12_C.N","MAIN_VOL","BU_VOL","TEMP","REMARKS","ID","StStatus","POSTime","Name","Stock.Dens"
1,"2020-10-06","00:01:29","2020-10-06","00:01:29",-863219,-5619547,2881340,27.0309676,-98.7329479,148.55,2.4,"3D","Yes",6,10,32,16,38,21,29,22,29,26,38,31,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,33,NA,"F20_009","before","2020-10-06 00:01:29","San Rafael",0
2,"2020-10-06","03:00:30","2020-10-06","03:00:30",-863494,-5619635,2881085,27.0283897,-98.7355524,147.34,2.8,"3D","Yes",6,3,32,8,38,16,38,22,35,26,32,27,35,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-06 03:00:30",NA,0
3,"2020-10-06","06:01:00","2020-10-06","06:01:00",-863875,-5619572,2881105,27.0285685,-98.7394437,152.52,3.4,"3D","Yes",6,1,32,7,32,9,38,17,35,28,29,30,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,25,NA,"F20_009","before","2020-10-06 06:01:00","Guadalupe",0
4,"2020-10-06","09:00:16","2020-10-06","09:00:16",-863875,-5619599,2881042,27.0279526,-98.7394024,147.66,3.6,"3D","Yes",5,1,29,7,32,17,32,28,29,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,24,NA,"F20_009","before","2020-10-06 09:00:16","Guadalupe",0
5,"2020-10-06","12:00:48","2020-10-06","12:00:48",-863970,-5619642,2880936,27.0268669,-98.7402828,150.21,1.8,"3D","Yes",7,2,35,5,35,6,29,12,35,24,35,25,29,28,32,0,0,0,0,0,0,0,0,0,0,3.56,3.64,26,NA,"F20_009","before","2020-10-06 12:00:48","Guadalupe",0
6,"2020-10-06","15:00:30","2020-10-06","15:00:30",-863511,-5619600,2881155,27.0290837,-98.7357753,150.63,2.8,"3D","Yes",6,2,32,5,29,12,32,18,35,25,38,29,38,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,34,NA,"F20_009","before","2020-10-06 15:00:30","San Rafael",0
7,"2020-10-06","18:00:48","2020-10-06","18:00:48",-863502,-5619601,2881157,27.0291013,-98.7356841,151.21,2,"3D","Yes",7,10,38,13,32,15,35,18,35,20,38,23,38,29,29,0,0,0,0,0,0,0,0,0,0,3.58,3.64,37,NA,"F20_009","before","2020-10-06 18:00:48","San Rafael",0
8,"2020-10-06","21:00:30","2020-10-06","21:00:30",-863502,-5619604,2881152,27.029049,-98.7356795,151.58,6.4,"3D","Yes",5,10,35,20,32,21,38,23,35,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.58,37,NA,"F20_009","before","2020-10-06 21:00:30","San Rafael",0
9,"2020-10-07","00:00:29","2020-10-07","00:00:29",-863769,-5619569,2881134,27.0288798,-98.7383925,148.71,3.2,"3D","Yes",4,16,35,21,32,26,38,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,33,NA,"F20_009","before","2020-10-07 00:00:29","San Rafael",0
10,"2020-10-07","03:00:29","2020-10-07","03:00:29",-863803,-5619654,2880951,27.0270429,-98.738601,144.99,2.6,"3D","Yes",5,7,35,8,29,9,32,16,38,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-07 03:00:29","Guadalupe",0
11,"2020-10-07","06:01:21","2020-10-07","06:01:21",-863846,-5619669,2880919,27.0266981,-98.7390064,149.47,4.8,"3D","Yes",6,1,32,4,29,7,35,9,32,11,35,17,29,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.64,28,NA,"F20_009","before","2020-10-07 06:01:21","Guadalupe",0
12,"2020-10-07","09:00:30","2020-10-07","09:00:30",-863753,-5619588,2881100,27.0285394,-98.7382041,147.82,2.4,"3D","Yes",9,1,32,3,35,6,29,7,35,17,38,19,29,22,35,28,38,30,35,0,0,0,0,0,0,3.58,3.64,25,NA,"F20_009","before","2020-10-07 09:00:30",NA,0
13,"2020-10-07","12:00:30","2020-10-07","12:00:30",-863637,-5619637,2881042,27.0279468,-98.7369736,148.91,6.6,"3D","Yes",6,2,29,5,35,6,35,17,35,19,35,28,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,22,NA,"F20_009","before","2020-10-07 12:00:30",NA,0
14,"2020-10-07","15:00:29","2020-10-07","15:00:29",-863331,-5619615,2881157,27.0291511,-98.7339594,140.4,5.6,"3D","Yes",6,2,29,5,32,12,32,13,35,15,32,29,38,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,33,NA,"F20_009","before","2020-10-07 15:00:29","San Rafael",0
15,"2020-10-07","18:00:51","2020-10-07","18:00:51",-863440,-5619631,2881111,27.0286486,-98.7350206,148.33,1.8,"3D","Yes",7,13,29,15,29,18,32,20,32,23,29,24,35,29,35,0,0,0,0,0,0,0,0,0,0,3.6,3.66,37,NA,"F20_009","before","2020-10-07 18:00:51",NA,0
16,"2020-10-07","21:00:25","2020-10-07","21:00:25",-863356,-5619652,2881096,27.0284952,-98.7341518,148.64,2.2,"3D","Yes",6,8,32,18,29,20,29,21,38,23,32,31,38,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,36,NA,"F20_009","before","2020-10-07 21:00:25",NA,0
17,"2020-10-08","00:00:33","2020-10-08","00:00:33",-863637,-5619665,2880984,27.0273671,-98.7369308,147.2,3,"3D","Yes",4,16,35,21,32,26,35,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,31,NA,"F20_009","before","2020-10-08 00:00:33","Guadalupe",0
18,"2020-10-08","03:00:29","2020-10-08","03:00:29",-863857,-5619593,2881057,27.0281087,-98.7392323,146.76,2,"3D","Yes",8,3,35,7,38,8,29,9,38,11,35,16,29,22,35,26,29,0,0,0,0,0,0,0,0,3.58,3.64,27,NA,"F20_009","before","2020-10-08 03:00:29","Guadalupe",0
19,"2020-10-08","06:01:00","2020-10-08","06:01:00",-863848,-5619579,2881098,27.0285007,-98.7391641,151.84,2.8,"3D","Yes",7,1,35,7,32,8,29,9,38,11,32,21,29,30,32,0,0,0,0,0,0,0,0,0,0,3.54,3.64,23,NA,"F20_009","before","2020-10-08 06:01:00","Guadalupe",0
20,"2020-10-08","09:00:30","2020-10-08","09:00:30",-863753,-5619592,2881101,27.0285313,-98.7381979,151.8,1.6,"3D","Yes",7,1,32,3,35,7,38,17,35,24,32,28,38,30,29,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-08 09:00:30",NA,0
21,"2020-10-08","12:00:48","2020-10-08","12:00:48",-863755,-5619666,2880949,27.0270081,-98.7381046,148.15,2.6,"3D","Yes",5,2,29,5,38,17,35,24,29,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,28,NA,"F20_009","before","2020-10-08 12:00:48","Guadalupe",0
22,"2020-10-08","15:01:00","2020-10-08","15:01:00",-863428,-5619601,2881169,27.0292439,-98.734947,146.65,7,"3D","Yes",5,2,29,5,35,13,32,15,35,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,32,NA,"F20_009","before","2020-10-08 15:01:00","San Rafael",0
23,"2020-10-08","18:00:46","2020-10-08","18:00:46",-863434,-5619607,2881162,27.0291596,-98.7349976,149.56,1.8,"3D","Yes",6,10,38,13,29,15,29,18,32,20,35,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,37,NA,"F20_009","before","2020-10-08 18:00:46","San Rafael",0
24,"2020-10-08","21:00:48","2020-10-08","21:00:48",-863349,-5619657,2881090,27.028431,-98.7340744,149.37,3.4,"3D","Yes",5,10,38,18,29,20,29,21,32,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,37,NA,"F20_009","before","2020-10-08 21:00:48",NA,0
25,"2020-10-09","00:00:30","2020-10-09","00:00:30",-863234,-5619664,2881103,27.0285788,-98.7329183,145.88,2.2,"3D","Yes",6,1,32,3,38,21,29,22,35,26,29,31,38,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,33,NA,"F20_009","before","2020-10-09 00:00:30",NA,0
26,"2020-10-09","03:00:30","2020-10-09","03:00:30",-863659,-5619637,2881015,27.0277161,-98.7371928,139.62,1.8,"3D","Yes",7,3,29,4,35,7,35,9,38,16,38,22,29,26,29,0,0,0,0,0,0,0,0,0,0,3.6,3.64,32,NA,"F20_009","before","2020-10-09 03:00:30","Guadalupe",0
27,"2020-10-09","06:00:29","2020-10-09","06:00:29",-863631,-5619731,2880879,27.0262592,-98.73677,156.79,2.8,"3D","Yes",6,1,35,4,35,7,35,8,35,9,32,11,38,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,30,NA,"F20_009","before","2020-10-09 06:00:29","Guadalupe",0
28,"2020-10-09","09:01:21","2020-10-09","09:01:21",-863751,-5619694,2880897,27.0264791,-98.7380219,148.63,2.8,"3D","Yes",6,1,29,3,32,7,32,17,38,22,29,28,38,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,29,NA,"F20_009","before","2020-10-09 09:01:21","Guadalupe",0
29,"2020-10-09","12:00:29","2020-10-09","12:00:29",-863583,-5619599,2881128,27.0288259,-98.7364939,147.23,2.4,"3D","Yes",5,2,35,6,38,12,38,25,35,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,28,NA,"F20_009","before","2020-10-09 12:00:29",NA,0
30,"2020-10-09","15:00:30","2020-10-09","15:00:30",-863410,-5619606,2881168,27.0292268,-98.7347601,148.16,2.4,"3D","Yes",8,2,32,12,35,13,35,15,35,20,32,23,32,25,38,29,35,0,0,0,0,0,0,0,0,3.58,3.64,35,NA,"F20_009","before","2020-10-09 15:00:30","San Rafael",0
31,"2020-10-09","18:01:18","2020-10-09","18:01:18",-863433,-5619605,2881156,27.0291201,-98.7349907,144.94,4.6,"3D","Yes",6,10,32,15,32,18,32,20,35,23,35,27,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,37,NA,"F20_009","before","2020-10-09 18:01:18","San Rafael",0
32,"2020-10-09","21:00:49","2020-10-09","21:00:49",-863409,-5619593,2881190,27.029457,-98.73477,146.58,1.4,"3D","Yes",9,10,29,11,29,12,29,18,29,20,32,21,32,23,32,27,29,31,32,0,0,0,0,0,0,3.58,3.64,38,NA,"F20_009","before","2020-10-09 21:00:49","San Rafael",0
33,"2020-10-10","00:01:14","2020-10-10","00:01:14",-863181,-5619620,2881190,27.0294895,-98.7324577,139.51,2,"3D","Yes",7,1,32,3,41,4,35,16,35,22,41,26,29,31,35,0,0,0,0,0,0,0,0,0,0,3.58,3.64,35,NA,"F20_009","before","2020-10-10 00:01:14","San Rafael",0
34,"2020-10-10","03:00:24","2020-10-10","03:00:24",-863862,-5619591,2881064,27.02817,-98.7392852,148.85,1.6,"3D","Yes",8,3,32,4,32,7,38,8,35,11,32,16,29,22,29,26,29,0,0,0,0,0,0,0,0,3.6,3.64,30,NA,"F20_009","before","2020-10-10 03:00:24","Guadalupe",0
35,"2020-10-10","06:00:30","2020-10-10","06:00:30",-864018,-5619591,2881014,27.0276708,-98.740839,147.25,5,"3D","Yes",6,1,35,4,29,7,32,9,38,11,38,17,35,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-10 06:00:30","Guadalupe",0
36,"2020-10-10","09:00:47","2020-10-10","09:00:47",-863973,-5619601,2881005,27.027586,-98.7403754,145.87,3.2,"3D","Yes",5,1,29,17,38,22,29,28,35,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,27,NA,"F20_009","before","2020-10-10 09:00:47","Guadalupe",0
37,"2020-10-10","12:00:54","2020-10-10","12:00:54",-863937,-5619657,2880910,27.0266177,-98.7399311,147.13,3.4,"3D","Yes",6,2,38,6,38,12,38,17,35,19,38,25,32,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-10 12:00:54","Guadalupe",0
38,"2020-10-10","15:01:17","2020-10-10","15:01:17",-863928,-5619814,2880617,27.0236314,-98.7396011,151.01,3.4,"3D","Yes",7,2,29,5,38,12,35,13,35,15,38,25,32,29,35,0,0,0,0,0,0,0,0,0,0,3.58,3.64,34,NA,"F20_009","before","2020-10-10 15:01:17","Guadalupe",0
39,"2020-10-10","18:00:54","2020-10-10","18:00:54",-863969,-5619852,2880532,27.0227685,-98.7399512,151.4,3,"3D","Yes",5,15,32,18,38,20,35,23,32,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,40,NA,"F20_009","before","2020-10-10 18:00:54","Guadalupe",0
40,"2020-10-10","21:00:48","2020-10-10","21:00:48",-863965,-5619847,2880536,27.0228235,-98.7399191,148.28,1.8,"3D","Yes",8,1,29,10,35,12,32,20,35,21,32,23,35,25,29,31,35,0,0,0,0,0,0,0,0,3.6,3.66,39,NA,"F20_009","before","2020-10-10 21:00:48","Guadalupe",0
41,"2020-10-11","00:00:30","2020-10-11","00:00:30",-864029,-5619799,2880606,27.0235409,-98.74063,146.48,2,"3D","Yes",6,1,29,16,35,21,32,22,35,26,29,31,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.66,35,NA,"F20_009","before","2020-10-11 00:00:30","Guadalupe",0
42,"2020-10-11","03:00:30","2020-10-11","03:00:30",-863910,-5619829,2880583,27.0233085,-98.7393988,146.34,1.6,"3D","Yes",7,4,35,7,35,9,35,11,29,16,29,22,32,26,29,0,0,0,0,0,0,0,0,0,0,3.58,3.66,29,NA,"F20_009","before","2020-10-11 03:00:30","Guadalupe",0
43,"2020-10-11","06:00:29","2020-10-11","06:00:29",-863933,-5619797,2880647,27.0239384,-98.7396769,150.35,2,"3D","Yes",7,7,32,8,29,9,35,11,35,13,35,17,35,30,35,0,0,0,0,0,0,0,0,0,0,3.56,3.64,27,NA,"F20_009","before","2020-10-11 06:00:29","Guadalupe",0
44,"2020-10-11","09:00:48","2020-10-11","09:00:48",-863867,-5619683,2880876,27.0262826,-98.7391941,145.1,1.6,"3D","Yes",7,1,32,13,29,17,38,19,35,24,32,28,38,30,29,0,0,0,0,0,0,0,0,0,0,3.56,3.64,28,NA,"F20_009","before","2020-10-11 09:00:48","Guadalupe",0
45,"2020-10-11","12:00:47","2020-10-11","12:00:47",-863833,-5619691,2880879,27.0262955,-98.7388432,148.91,2.2,"3D","Yes",6,2,29,5,38,12,29,19,35,24,35,25,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,27,NA,"F20_009","before","2020-10-11 12:00:47","Guadalupe",0
46,"2020-10-11","15:00:30","2020-10-11","15:00:30",-863324,-5619624,2881178,27.0292878,-98.7338759,156.92,3.4,"3D","Yes",6,2,35,5,41,12,35,15,38,25,29,29,35,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,33,NA,"F20_009","before","2020-10-11 15:00:30","San Rafael",0
47,"2020-10-11","18:00:57","2020-10-11","18:00:57",-863421,-5619615,2881150,27.0290388,-98.7348559,149.39,2.6,"3D","Yes",7,10,29,15,35,18,35,20,29,23,35,24,29,29,29,0,0,0,0,0,0,0,0,0,0,3.6,3.64,39,NA,"F20_009","before","2020-10-11 18:00:57","San Rafael",0
48,"2020-10-11","21:00:30","2020-10-11","21:00:30",-863394,-5619621,2881146,27.0289991,-98.7345777,149.21,2.8,"3D","Yes",6,10,35,18,29,20,29,21,38,23,29,31,38,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.66,40,NA,"F20_009","before","2020-10-11 21:00:30","San Rafael",0
49,"2020-10-12","00:00:30","2020-10-12","00:00:30",-863349,-5619699,2881038,27.0278427,-98.7340102,162.72,4,"3D","Yes",4,3,29,21,29,22,35,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,35,NA,"F20_009","before","2020-10-12 00:00:30","Guadalupe",0
50,"2020-10-12","03:00:42","2020-10-12","03:00:42",-863868,-5619686,2880877,27.0262778,-98.7391995,148.33,2.2,"3D","Yes",5,3,29,9,38,22,29,26,35,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.6,30,NA,"F20_009","before","2020-10-12 03:00:42","Guadalupe",0
51,"2020-10-12","06:01:19","2020-10-12","06:01:19",-863986,-5619704,2880806,27.0255606,-98.7403472,147.89,2,"3D","Yes",7,1,32,7,29,9,32,13,29,17,35,28,35,30,35,0,0,0,0,0,0,0,0,0,0,3.56,3.64,28,NA,"F20_009","before","2020-10-12 06:01:19","Guadalupe",0
52,"2020-10-12","09:00:20","2020-10-12","09:00:20",-864021,-5619696,2880805,27.0255631,-98.740708,145.13,1.8,"3D","Yes",6,1,29,13,29,17,38,19,38,28,35,30,29,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,28,NA,"F20_009","before","2020-10-12 09:00:20","Guadalupe",0
53,"2020-10-12","12:00:47","2020-10-12","12:00:47",-863948,-5619740,2880747,27.024964,-98.7399136,147.63,2.8,"3D","Yes",5,2,35,5,35,6,35,12,38,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,30,NA,"F20_009","before","2020-10-12 12:00:47","Guadalupe",0
54,"2020-10-12","15:01:00","2020-10-12","15:01:00",-863750,-5619691,2880913,27.0266205,-98.7380165,153.12,2.8,"3D","Yes",7,2,38,5,38,12,35,13,38,15,38,25,29,29,29,0,0,0,0,0,0,0,0,0,0,3.58,3.64,34,NA,"F20_009","before","2020-10-12 15:01:00","Guadalupe",0
55,"2020-10-12","18:00:58","2020-10-12","18:00:58",-863763,-5619662,2880961,27.0271158,-98.7381904,151.16,2.6,"3D","Yes",6,10,38,15,29,20,29,23,29,27,32,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,38,NA,"F20_009","before","2020-10-12 18:00:58","Guadalupe",0
56,"2020-10-12","21:00:30","2020-10-12","21:00:30",-863780,-5619656,2880959,27.0271135,-98.7383689,147.27,2.4,"3D","Yes",7,1,35,10,38,11,32,20,32,21,38,23,32,25,29,0,0,0,0,0,0,0,0,0,0,3.6,3.66,38,NA,"F20_009","before","2020-10-12 21:00:30","Guadalupe",0
57,"2020-10-13","00:01:00","2020-10-13","00:01:00",-863774,-5619728,2880816,27.0256758,-98.7381989,144.87,2.2,"3D","Yes",5,1,29,3,32,4,29,22,29,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,34,NA,"F20_009","before","2020-10-13 00:01:00","Guadalupe",0
58,"2020-10-13","03:00:38","2020-10-13","03:00:38",-864045,-5619725,2880749,27.0249804,-98.7409027,148.47,2.2,"3D","Yes",7,3,29,4,38,7,35,8,35,9,38,16,35,22,29,0,0,0,0,0,0,0,0,0,0,3.58,3.64,30,NA,"F20_009","before","2020-10-13 03:00:38","Guadalupe",0
59,"2020-10-13","06:00:47","2020-10-13","06:00:47",-864042,-5619728,2880753,27.0250023,-98.7408682,152.52,2.2,"3D","Yes",7,1,32,7,32,9,35,13,35,17,38,19,32,28,38,0,0,0,0,0,0,0,0,0,0,3.58,3.66,30,NA,"F20_009","before","2020-10-13 06:00:47","Guadalupe",0
60,"2020-10-13","09:00:14","2020-10-13","09:00:14",-863984,-5619747,2880713,27.0246399,-98.7402614,143.22,2.4,"3D","Yes",5,1,29,7,29,17,32,19,29,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,31,NA,"F20_009","before","2020-10-13 09:00:14","Guadalupe",0
61,"2020-10-13","12:01:00","2020-10-13","12:01:00",-864030,-5619820,2880579,27.0232381,-98.7406078,152.84,2.2,"3D","Yes",7,2,32,5,29,6,32,12,32,17,29,19,29,24,29,0,0,0,0,0,0,0,0,0,0,3.56,3.62,30,NA,"F20_009","before","2020-10-13 12:01:00","Guadalupe",0
62,"2020-10-13","15:00:30","2020-10-13","15:00:30",-863483,-5619608,2881171,27.0291973,-98.7354841,161.16,3.6,"3D","Yes",5,2,38,5,38,12,29,13,38,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,35,NA,"F20_009","before","2020-10-13 15:00:30","San Rafael",0
63,"2020-10-13","18:00:29","2020-10-13","18:00:29",-863431,-5619607,2881162,27.0291614,-98.7349677,149.16,2.6,"3D","Yes",6,10,35,15,29,18,32,20,32,23,32,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.66,38,NA,"F20_009","before","2020-10-13 18:00:29","San Rafael",0
64,"2020-10-13","21:00:52","2020-10-13","21:00:52",-863402,-5619606,2881166,27.0292157,-98.7346804,146.17,1.8,"3D","Yes",8,1,29,10,32,11,32,20,29,21,35,23,29,25,29,31,41,0,0,0,0,0,0,0,0,3.6,3.66,38,NA,"F20_009","before","2020-10-13 21:00:52","San Rafael",0
65,"2020-10-14","00:01:18","2020-10-14","00:01:18",-863227,-5619642,2881136,27.0289376,-98.7328822,140.56,3.2,"3D","Yes",6,1,32,3,35,4,32,16,29,22,32,26,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,33,NA,"F20_009","before","2020-10-14 00:01:18","San Rafael",0
66,"2020-10-14","03:00:31","2020-10-14","03:00:31",-863879,-5619643,2880964,27.0271447,-98.7393749,151.5,3.2,"3D","Yes",5,3,29,4,32,11,29,16,29,22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,29,NA,"F20_009","before","2020-10-14 03:00:31","Guadalupe",0
67,"2020-10-14","06:00:29","2020-10-14","06:00:29",-863864,-5619659,2880940,27.0268962,-98.739201,152.65,4.6,"3D","Yes",6,1,35,7,35,9,35,11,35,17,35,30,32,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,30,NA,"F20_009","before","2020-10-14 06:00:29","Guadalupe",0
68,"2020-10-14","09:00:30","2020-10-14","09:00:30",-864025,-5619667,2880869,27.0261927,-98.7407923,149.22,3.4,"3D","Yes",5,2,35,6,38,13,35,17,32,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-14 09:00:30","Guadalupe",0
69,"2020-10-14","12:00:29","2020-10-14","12:00:29",-863946,-5619621,2880980,27.0273207,-98.7400759,148.46,3,"3D","Yes",5,2,35,5,38,6,35,12,38,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,29,NA,"F20_009","before","2020-10-14 12:00:29","Guadalupe",0
70,"2020-10-14","15:00:48","2020-10-14","15:00:48",-863615,-5619640,2881044,27.0279645,-98.7367499,149.48,5.8,"3D","Yes",5,2,35,5,38,12,35,25,29,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,32,NA,"F20_009","before","2020-10-14 15:00:48",NA,0
71,"2020-10-14","18:01:20","2020-10-14","18:01:20",-863754,-5619692,2880906,27.0265577,-98.7380548,151.36,3.6,"3D","Yes",5,10,38,15,29,20,32,23,35,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.66,38,NA,"F20_009","before","2020-10-14 18:01:20","Guadalupe",0
72,"2020-10-14","21:00:19","2020-10-14","21:00:19",-863804,-5619688,2880895,27.0264543,-98.7385589,149.61,2,"3D","Yes",6,10,38,12,35,20,35,21,35,22,29,23,35,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.66,37,NA,"F20_009","before","2020-10-14 21:00:19","Guadalupe",0
73,"2020-10-15","00:01:00","2020-10-15","00:01:00",-863909,-5619730,2880779,27.0252861,-98.7395405,148.09,2.6,"3D","Yes",5,1,29,16,29,22,35,26,38,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.66,33,NA,"F20_009","before","2020-10-15 00:01:00","Guadalupe",0
74,"2020-10-15","03:00:29","2020-10-15","03:00:29",-864090,-5619980,2880249,27.0198992,-98.7409604,151.91,3,"3D","Yes",5,4,35,8,38,16,38,22,32,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,30,NA,"F20_009","before","2020-10-15 03:00:29","Guadalupe",0
75,"2020-10-15","06:00:48","2020-10-15","06:00:48",-863969,-5619950,2880345,27.020868,-98.7398012,152.73,2.6,"3D","Yes",6,1,35,7,32,9,35,11,32,17,38,21,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,29,NA,"F20_009","before","2020-10-15 06:00:48","Guadalupe",0
76,"2020-10-15","09:00:29","2020-10-15","09:00:29",-863941,-5619925,2880399,27.0214209,-98.7395606,151.46,3.4,"3D","Yes",5,2,35,6,41,17,29,28,32,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-15 09:00:29","Guadalupe",0
77,"2020-10-15","12:00:34","2020-10-15","12:00:34",-863831,-5619916,2880440,27.0218555,-98.7384788,147.28,3.2,"3D","Yes",5,2,38,5,38,6,32,12,38,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,28,NA,"F20_009","before","2020-10-15 12:00:34","Guadalupe",0
78,"2020-10-15","15:00:30","2020-10-15","15:00:30",-864046,-5619803,2880608,27.0235301,-98.7407932,153.21,2.8,"3D","Yes",7,2,29,5,32,12,32,15,35,20,35,23,35,25,32,0,0,0,0,0,0,0,0,0,0,3.58,3.64,33,NA,"F20_009","before","2020-10-15 15:00:30","Guadalupe",0
79,"2020-10-15","18:00:54","2020-10-15","18:00:54",-864061,-5619767,2880669,27.0241571,-98.7409977,151.26,2.2,"3D","Yes",7,10,35,15,32,18,38,20,35,23,29,24,32,29,29,0,0,0,0,0,0,0,0,0,0,3.58,3.66,37,NA,"F20_009","before","2020-10-15 18:00:54","Guadalupe",0
80,"2020-10-15","21:00:48","2020-10-15","21:00:48",-864042,-5619787,2880633,27.0237985,-98.7407779,149.94,2,"3D","Yes",7,1,29,10,35,11,29,20,32,21,32,23,38,31,32,0,0,0,0,0,0,0,0,0,0,3.6,3.66,39,NA,"F20_009","before","2020-10-15 21:00:48","Guadalupe",0
81,"2020-10-16","00:00:30","2020-10-16","00:00:30",-864002,-5619545,2881112,27.0286551,-98.74075,149.12,2.2,"3D","Yes",5,1,32,21,29,22,38,26,32,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,34,NA,"F20_009","before","2020-10-16 00:00:30","Desiderio",0
82,"2020-10-16","03:00:22","2020-10-16","03:00:22",-864048,-5619612,2880982,27.0273097,-98.7411056,155.26,1.6,"3D","Yes",6,7,32,8,35,9,41,16,35,22,29,26,29,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.66,30,NA,"F20_009","before","2020-10-16 03:00:22","Guadalupe",0
83,"2020-10-16","06:00:33","2020-10-16","06:00:33",-863998,-5619669,2880866,27.0261773,-98.7405203,145.96,3,"3D","Yes",6,7,29,9,29,13,35,17,35,28,38,30,38,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,30,NA,"F20_009","before","2020-10-16 06:00:33","Guadalupe",0
